reaction_nm	reaction_des	reaction_idx
FOAMtex	Formamide transport via diffusion extracellular to periplasm 	1069
FORtex	Formate transport via diffusion (extracellular to periplasm)	1075
FRUtex	D-fructose transport via diffusion (extracellular to periplasm)	1086
FUMtex	Fumarate transport via diffusion (extracellular to periplasm)	1093
FUSAtex	Fusidic acid transport via diffusion (extracellular to periplasm)	1094
G3PCtex	Glycero-3-phosphocholine transport via diffusion (extracellular to periplasm)	1105
G3PEtex	Glycero-3-phosphoethanolamine transport via diffusion (extracellular to periplasm)	1108
G3PGtex	Glycerophoglycerol transport via diffusion (extracellular to periplasm)	1109
G3PItex	Glycero-3-phospho-1-inositol transport via diffusion (extracellular to periplasm)	1110
G3PStex	Glycerophosphserine transport via diffusion (extracellular to periplasm)	1111
GAL1Ptex	D-galactose 1-phosphate transport via diffusion (extracellular to periplasm)	1115
GALBDtex	Beta D-galactose transport via diffusion (extracellular to periplasm)	1117
GALtex	D-galactose transport via diffusion (extracellular to periplasm)	1122
GAMtex	D-glucosamine transport via diffusion (extracellular to periplasm)	1126
GLCNtex	D-gluconate transport via diffusion (extracellular to periplasm)	1144
GLCtex	Glucose transport via diffusion (extracellular to periplasm)	1151
GLCUR1Ptex	D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm)	1155
GLCURtex	D-glucuronat transport via diffusion (extracellular to periplasm)	1158
GLNtex	L-glutamine transport via diffusion (extracellular to periplasm)	1163
GLUtex	L-glutamate transport via diffusion (extracellular to periplasm)	1177
GLYC2Ptex	Glycerol-2-phosphate transport via diffusion (extracellular to periplasm)	1187
GLYC3Ptex	Glycerol-3-phosphate transport via diffusion (extracellular to periplasm)	1188
GLYCLTtex	Glycolate transport via diffusion (extracellular to periplasm)	1192
GLYCtex	Glycerol transport via diffusion (extracellular to periplasm)	1193
GLYtex	Glycine transport via diffusion (extracellular to periplasm)	1201
GMPtex	GMP transport via diffusion (extracellular to periplasm)	1207
GSNtex	Guanosine transport via diffusion (extracellular to periplasm)	1214
GTHRDtex	Glutathione transport via diffusion (extracellular to periplasm)	1219
GUAtex	Guanine transport via diffusion (extracellular to periplasm)	1228
H2tex	Hydrogen transport via diffusion (extracellular to periplasm)	1232
HDCAtexi	Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm)	1254
HDCEAtexi	Hexadecenoate transport via facilitated irreversible diffusion (extracellular to periplasm)	1255
HIStex	L-histidine transport via diffusion (extracellular to periplasm)	1271
HOMtex	L-homoserine transport via diffusion (extracellular to periplasm)	1278
HPAtex	4-hydroxyphenylacetate transport via diffusion (extracellular to periplasm)	1281
Htex	Proton transport via diffusion (extracellular to periplasm)	1285
HXAtex	Hexanoate transport via diffusion (extracellular to periplasm)	1287
HYXNtex	Hypoxanthine transport via diffusion (extracellular to periplasm)	1298
ILEtex	L-isoleucine transport via diffusion (extracellular to periplasm)	1306
IMPtex	IMP transport via diffusion (extracellular to periplasm)	1308
INDOLEtex	Indole transport via diffusion (extracellular to periplasm)	1310
INStex	Inosine transport via diffusion (extracellular to periplasm)	1313
INSTtex	Inositol transport via diffusion (extracellular to periplasm)	1314
K2L4Aabctex	KDO(2)-lipid IV A transport via ABC system (periplasm to extracellular)	1318
Ktex	Potassium transport via diffusion (extracellular to periplasm)	1337
LALADGLUtex	L-alanyl-D-glutamate transport via diffusion (extracellular to periplasm)	1338
LALALGLUtex	L-alanyl-L-glutamate transport via diffusion (extracellular to periplasm)	1340
LCTStex	Lactose transport via diffusion (extracellular to periplasm)	1347
LEUtex	L-leucine transport via diffusion (extracellular to periplasm)	1356
LIPAabctex	Lipid A transport via ABC system (periplasm to extracellular)	1359
L_LACtex	L-lactate transport via diffusion (extracellular to periplasm)	1364
LYStex	L-lysine transport via diffusion (extracellular to periplasm)	1412
MALDtex	D-Malate transport via diffusion (extracellular to periplasm)	1417
MALtex	Malate transport via diffusion (extracellular to periplasm)	1423
MANGLYCtex	2-O-alpha-mannosyl-D-glycerate transport via diffusion (extracellular to periplasm)	1427
MANtex	D-mannose transport via diffusion (extracellular to periplasm)	1431
MELIBtex	Melibiose transport via diffusion (extracellular to periplasm)	1453
MEOHtex	Methanol transport via diffusion (extracellular to periplasm)	1454
METtex	L-methionine transport via diffusion (extracellular to periplasm)	1459
MG2tex	Magnesium (Mg+2) transport via diffusion (extracellular to periplasm)	1460
MINCYCtex	Minocycline transport via diffusion (extracellular to periplasm)	1465
MNLtex	Mannitol transport via diffusion (extracellular to periplasm)	1488
MNtex	Manganese (Mn+2) transport via diffusion (extracellular to periplasm)	1489
MOBDtex	Molybdate transport via diffusion (extracellular to periplasm)	1496
MSO3tex	Methanesulfonate transport via diffusion (extracellular to periplasm)	1508
N2Otex	Nitrious oxide transport via diffusion (extracellular to periplasm)	1513
NACtex	Nicotinic acid transport via diffusion (extracellular to periplasm)	1517
NAtex	Sodium transport via diffusion (extracellular to periplasm)	1535
NI2tex	Nickel transport via diffusion (extracellular to periplasm)	1540
NMNtex	NMN transport via diffusion (extracellular to periplasm)	1551
NO2tex	Nitrite transport via diffusion (extracellular to periplasm)	1554
NO3tex	Nitrate transport via diffusion (extracellular to periplasm)	1558
NOtex	Nitric oxide transport via diffusion (extracellular to periplasm)	1559
NOVBCNtex	Novobiocin transport via diffusion (extracellular to periplasm)	1561
O2tex	Oxygen transport via diffusion (extracellular to periplasm)	1606
OAAtex	Oxaloacetate transport via diffusion extracellular to periplasm 	1610
OCDCAtexi	Octadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm)	1616
OCDCEAtexi	Octadecenoate (n-C18:1) transport via facilitated irreversible diffusion (extracellular to periplasm)	1617
OCTAtex	Octanoate transport via diffusion (extracellular to periplasm)	1620
OROTtex	Orotate transport via diffusion (extracellular to periplasm)	1634
OXFOtex	Oxalate:Formate antiporter (extracellular to periplasm)	1639
PACALDtex	Phenethylacetaldehyde transport via diffusion (extracellular to periplasm)	1645
PHEMEtiex	Protoheme transport irreversible out via diffusion (periplasm to extracellular)	1704
PItex	Phosphate transport via diffusion (extracellular to periplasm)	1708
PNTOtex	Pantothenate transport via diffusion (extracellular to periplasm)	1740
PPALtex	Propanal transport via diffusion (extracellular to periplasm)	1742
PPPNtex	3-phenylpropionate transport via diffusion (extracellular to periplasm)	1762
PROtex	L-proline transport via diffusion (extracellular to periplasm)	1770
PYRtex	Pyruvate transport via diffusion (extracellular to periplasm)	1805
QUIN2tex	Quinate transport via diffusion (extracellular to periplasm)	1807
RFAMPtex	Rifampin transport via diffusion (extracellular to periplasm)	1815
RIBtex	Ribose transport via diffusion (extracellular to periplasm)	1821
SBTtex	D-sorbitol transport via diffusion (extracellular to periplasm)	1841
SERtex	L-serine transport via diffusion (extracellular to periplasm)	1851
SO3tex	Sulfite transport via diffusion (extracellular to periplasm)	1862
SO4tex	Sulfate transport via diffusion (extracellular to periplasm)	1863
SPMDtex	Spermidine transport via diffusion (extracellular to periplasm)	1868
SUCCtex	Succinate transport via diffusion (extracellular to periplasm)	1882
SUCRtex	Sucrose transport transport via diffusion (extracellular to periplasm)	1889
TARTRDtex	D-tartrate transport via diffusion (extracellular to periplasm)	1895
TARTRtex	Tartrate transport via diffusion (extracellular to periplasm)	1897
TAURtex	Taurine transport via diffusion (extracellular to periplasm)	1900
TCYNTtex	Thiocyanate transport via diffusion (extracellular to periplasm)	1901
THMDtex	Thymidine transport via diffusion (extracellular to periplasm)	1911
THRtex	L-threonine transport via diffusion (extracellular to periplasm)	1916
TMAOtex	Trimethylamine N-oxide transport via diffusion (extracellular to periplasm)	1923
TMAtex	Trimethylamine transport via diffusion (extracellular to periplasm)	1924
TREtex	Trehalose transport via diffusion (extracellular to periplasm)	1931
TSULtex	Thiosulfate transport via diffusion (extracellular to periplasm)	1936
TTDCAtexi	Tetradecanoate transport via facilitated irreversible diffusion (extracellular to periplasm)	1938
TTDCEAtexi	Tetradecenoate transport via facilitated irreversible diffusion (extracellular to periplasm)	1939
TTRCYCtex	Tetracycline transport via diffusion (extracellular to periplasm)	1940
TYMtex	Tyramine transport via diffusion (extracellular to periplasm)	1942
TYRtex	L-tyrosine transport via diffusion (extracellular to periplasm)	1947
UACGAMtex	UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm)	1952
UDPACGALtex	UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm)	1962
UDPGALtex	UDPgalactose transport via diffusion (extracellular to periplasm)	1965
UDPGLCURtex	UDP-D-glucuronate transport via diffusion (extracellular to periplasm)	1967
UDPGtex	UDPglucose transport via diffusion (extracellular to periplasm)	1969
UMPtex	UMP transport via diffusion (extracellular to periplasm)	1978
UREAtex	Urea transport via diffusion (extracellular to periplasm)	1984
URItex	Uridine transport via diffusion (extracellular to periplasm)	1989
VALtex	L-valine transport via diffusion (extracellular to periplasm)	1993
XMPtex	XMP transport via diffusion (extracellular to periplasm)	1998
XTSNtex	Xanthosine transport via diffusion (extracellular to periplasm)	2000
XYLtex	D-xylose transport via diffusion (extracellular to periplasm)	2007
XYLUtex	L-xylulose transport via diffusion (extracellular to periplasm)	2009
Zn2tex	Zinc (Zn+2) transport via diffusion (extracellular to periplasm)	2012
12PPDStex	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	2202
2PGtex	D Glycerate 2 phosphate transport via diffusion extracellular to periplasm 	2208
34dhpactex	Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	2211
